Alloy,Finish,Length_m,Weight_kg_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Zinc,Blackening,31.5,0.967,Glasningslist,0.10173633688794402,low,104105,2.79,micro,11.0,2.89,2025-11-21
Aluminium,Chrome plated,19.9,1.523,Tätningslist,0.16228688183773352,medium,97219,3.78,micro,10.0,3.01,2025-01-15
Titanium,Powder coated,27.9,1.538,Foglist,0.15077415911158915,medium,160864,3.26,medium,8.0,1.89,2025-06-24
Iron,Polished,32.1,1.437,Sidoprofil,0.0889004299903212,medium,86769,3.26,small,9.0,3.2,2025-09-16
Tin,Polished,18.2,1.535,Hakprofilslist,0.12814159832642785,low,49494,4.07,medium,4.0,3.86,2025-07-30
Zinc,Hot-dip galvanized,28.9,1.608,L-profil,0.08970646538049665,high,59111,4.01,micro,12.0,3.69,2025-09-16
Lead,Anodized,21.7,1.396,Spröjsprofil,0.1743464496804056,medium,104677,3.04,small,6.0,2.88,2025-04-12
Iron,Brushed,38.0,0.918,Skenprofil,0.1131188550339262,medium,158037,2.88,small,3.0,1.94,2025-09-17
Tin,Chrome plated,26.9,1.281,Z-profil,0.19720548292686702,medium,76023,3.9,micro,11.0,3.39,2025-12-10
Copper,Phosphated,34.4,0.908,Glaskil,0.06237615524683699,medium,132636,3.99,medium,8.0,2.39,2025-06-08
Steel,Powder coated,28.5,1.208,Fönsterbleck,0.15648167272789573,high,107535,3.41,large,9.0,2.83,2025-02-14
Nickel,Brushed,16.7,1.208,Mittpost,0.1529574522746237,medium,143341,3.55,medium,10.0,2.2,2025-10-28
Lead,Chrome plated,30.4,0.897,H-profil,0.17030651549281217,medium,108598,2.96,medium,12.0,2.81,2025-09-08
Copper,Electroplated,37.7,1.155,Fönsterbleck,0.09705615025413226,low,91538,3.82,micro,12.0,3.12,2025-11-27
Titanium,Plasma sprayed,29.6,0.938,Vinkellist,0.11393089459373308,high,160653,3.56,small,8.0,1.89,2025-06-14
Copper,Polished,34.7,1.573,T-profil,0.1693607515468645,high,137733,3.35,micro,11.0,2.3,2025-07-12
Steel,Phosphated,36.2,1.7,Karmprofil,0.09078519763730694,low,149693,2.65,medium,11.0,2.09,2025-01-09
Titanium,Polished,21.0,0.903,Kantprofil,0.08312187663844195,low,139392,4.01,large,9.0,2.27,2025-03-06
Lead,Phosphated,20.6,1.707,J-profil,0.12073404786979401,high,34447,3.53,large,10.0,4.13,2025-10-09
Steel,Hot-dip galvanized,29.9,1.313,Avvattningsprofil,0.12842726958532283,medium,131219,2.86,large,7.0,2.41,2025-06-30
Aluminium,Anodized,25.2,1.11,Korsprofil,0.10090801026627898,medium,131551,3.51,micro,11.0,2.41,2025-10-09
Nickel,Phosphated,35.2,0.907,Ändprofil,0.08674596896508273,low,70745,3.63,small,3.0,3.48,2025-10-06
Lead,Polished,36.6,1.293,Isolerprofil,0.08670379832093665,high,86103,3.39,micro,3.0,3.21,2025-01-30
Aluminium,Hot-dip galvanized,23.9,1.561,Karmprofil,0.16131347054667686,medium,159553,3.69,large,5.0,1.91,2025-09-23
Tin,Phosphated,21.2,1.481,Bottenlist,0.1575822935036165,high,93408,3.47,medium,10.0,3.08,2025-11-24
Lead,Electroplated,33.8,0.883,J-profil,0.17112404711484344,low,138470,4.06,small,8.0,2.29,2025-08-05
Tin,Anodized,22.1,0.904,Tätningslist,0.2,low,34313,2.64,micro,3.0,4.13,2025-11-16
Titanium,Phosphated,34.8,1.204,Z-profil,0.12689714220213522,high,117917,2.72,micro,9.0,2.65,2025-04-15
Aluminium,Hot-dip galvanized,25.5,1.106,Foglist,0.0722251653143138,medium,114710,2.83,small,,2.71,2025-07-03
Nickel,Blackening,31.2,1.049,H-profil,0.05275532311379113,high,85802,3.65,small,8.0,3.22,2025-11-26
Steel,Brushed,17.9,1.093,Fönsterbåge,0.08946290155618576,medium,149416,3.58,medium,10.0,2.09,2025-05-28
Brass,Wet painted,30.2,1.569,Korsprofil,0.19186803517285925,medium,70055,3.97,small,9.0,3.5,2025-04-15
Copper,Chrome plated,26.2,1.684,Spröjsprofil,0.12351273466557122,high,41033,3.72,medium,4.0,4.01,2025-02-16
Iron,Wet painted,29.3,1.206,Glasningslist,0.08612559287917818,medium,41779,3.36,large,,4.0,2025-03-28
Nickel,Blackening,19.6,1.662,Foglist,0.11007243495505978,low,107661,4.13,large,,2.83,2025-11-05
Aluminium,Wet painted,32.8,1.13,Z-profil,0.14550744362398219,high,53604,2.97,micro,,3.79,2025-05-09
Brass,Blackening,35.7,1.271,Distansprofil,0.14309524926229814,medium,67994,3.87,large,5.0,3.53,2025-09-15
Nickel,Powder coated,20.7,1.043,Clipsprofil,0.06947572690306003,low,156532,3.23,large,7.0,1.97,2025-11-10
Aluminium,Blackening,17.9,1.421,Innerbåge,0.19004229840913628,high,137886,3.58,medium,5.0,2.3,2025-05-27
Zinc,Blackening,16.3,1.729,Isolerprofil,0.1268008211158226,low,113471,3.71,micro,10.0,2.73,2025-03-13
Zinc,Blackening,30.6,1.387,Glashållare,0.0631639222246668,low,146451,3.56,small,,2.14,2025-05-20
Tin,Electroplated,29.8,1.163,Karmlist,0.18183534304859325,low,118596,2.77,micro,7.0,2.64,2025-01-27
Nickel,Brushed,28.4,1.427,J-profil,0.06031174624340374,medium,41790,3.25,large,7.0,4.0,2025-01-29
Zinc,Plasma sprayed,21.1,0.949,J-profil,0.18730855845821764,high,53552,3.44,small,11.0,3.79,2025-09-28
Aluminium,Phosphated,24.8,1.647,Kantskydd,0.19860862004676677,high,137590,3.9,micro,12.0,2.3,2025-06-23
Tin,Chrome plated,29.5,1.295,Kantskydd,0.1605069221665657,medium,39162,3.26,micro,11.0,4.04,2025-09-10
Aluminium,Anodized,27.2,1.246,Skarvprofil,0.16056234158983035,high,142763,4.01,micro,2.0,2.21,2025-03-01
Tin,Brushed,38.6,1.371,Ventilationslister,0.10446967502519257,low,102259,3.25,micro,9.0,2.93,2025-04-17
Nickel,Polished,18.9,1.406,Karmprofil,0.19219961820033374,high,42750,3.42,medium,4.0,3.98,2025-08-08
Brass,Plasma sprayed,31.8,0.903,Mittpost,0.13402056871065576,medium,88322,3.82,micro,7.0,3.17,2025-09-16
Steel,Powder coated,25.1,1.459,Kopplingsprofil,0.16353300057127543,low,160198,3.48,large,4.0,1.9,2025-05-26
Lead,Powder coated,25.6,5.173416,Innerbåge,0.19131720505669736,medium,94291,4.08,large,12.0,3.07,2025-02-21
Brass,Blackening,32.3,1.487,Avvattningsprofil,0.192023685275084,low,73227,3.6,medium,3.0,3.44,2025-03-01
Titanium,Brushed,31.8,1.586,Anslagslist,0.1576241462606113,low,132677,3.38,small,6.0,2.39,2025-02-03
Aluminium,Hot-dip galvanized,38.7,1.569,Glasningslist,0.0966015779246973,low,120390,2.59,small,,2.61,2025-04-06
Titanium,Wet painted,18.7,1.34,Glashållare,0.18545088811153457,low,82153,3.21,large,10.0,3.28,2025-03-30
Brass,Polished,18.1,1.311,Ramlist,0.15333084465946403,medium,64126,3.03,large,12.0,3.6,2025-11-12
Tin,Powder coated,32.5,0.967,Clipsprofil,0.17957798410831002,high,75179,3.74,medium,8.0,3.4,2025-08-19
Lead,Chrome plated,29.1,1.543,Ramlist,0.1517042438775574,medium,89565,2.88,small,4.0,3.15,2025-10-02
Lead,Powder coated,22.1,1.084,Ramlist,0.0965004008317317,low,104661,2.88,small,5.0,2.88,2025-09-03
Iron,Anodized,17.6,1.29,Skenprofil,0.09828954295360293,medium,141256,2.85,micro,,2.24,2025-04-21
Lead,Phosphated,17.7,1.096,Mittpost,0.1252450884450395,low,110290,2.75,micro,4.0,2.78,2025-08-22
Steel,Powder coated,36.4,0.959,Glashållare,0.1643885619548735,low,122087,3.04,micro,8.0,2.58,2025-10-05
Lead,Anodized,20.2,1.411,H-profil,0.09888985717762455,medium,118484,3.96,medium,7.0,2.64,2025-06-15
Brass,Brushed,23.2,0.887,Ventilationslister,0.1375334656740212,medium,73036,3.78,large,10.0,3.44,2025-05-08
Iron,Brushed,21.0,1.519,Glasningslist,0.11072165070629388,low,56830,3.72,medium,6.0,3.73,2025-08-25
Brass,Plasma sprayed,23.9,1.126,Pärlspont,0.17362780551567686,high,110352,3.82,small,5.0,2.78,2025-10-18
Brass,Powder coated,17.3,0.837,T-profil,0.1067657481632078,high,79358,2.98,large,4.0,3.33,2025-04-17
Copper,Chrome plated,27.7,1.303,U-profil,0.05780416017983971,high,138380,3.96,micro,11.0,2.29,2025-05-08
Iron,Powder coated,17.3,0.88,Droppnäsa,0.07550188164742337,medium,106394,2.77,medium,2.0,2.85,2025-07-14
Brass,Chrome plated,34.2,1.089,Avvattningsprofil,0.058775190376871615,medium,106555,3.08,medium,4.0,2.85,2025-12-05
Copper,Electroplated,21.1,1.481,Mittpost,0.12523887664826486,medium,37186,3.48,micro,4.0,4.08,2025-05-23
Copper,Blackening,28.2,0.894,Kilspår,0.056271260442642454,high,158898,2.71,medium,8.0,1.92,2025-04-21
Iron,Plasma sprayed,36.1,1.602,Ventilationslister,0.06675810349751292,medium,126021,3.71,micro,8.0,2.51,2025-03-31
Titanium,Electroplated,30.8,0.841,Anslagslist,0.19442427874156928,low,150923,3.17,small,2.0,2.07,2025-09-08
Tin,Powder coated,28.1,1.062,Clipsprofil,0.1916659715835993,medium,69687,3.8,large,4.0,3.5,2025-10-07
Steel,Plasma sprayed,23.2,1.512,Korsprofil,0.12280515265008152,medium,53875,3.33,small,9.0,3.78,2025-11-29
Tin,Electroplated,23.4,1.125,Hakprofil,0.19589638203078588,high,144560,2.84,small,10.0,2.18,2025-08-12
Lead,Wet painted,31.2,0.93,Stödprofil,0.05479953424231496,medium,140949,3.72,micro,,2.24,2025-04-11
Steel,Powder coated,38.7,1.165,Distansprofil,0.1383263855373115,high,71943,2.95,medium,8.0,3.46,2025-05-12
Lead,Electroplated,31.0,1.084,Innerbåge,0.14082122327966246,high,42400,3.33,small,12.0,3.98,2025-01-13
Brass,Wet painted,28.6,1.605,Avvattningsprofil,0.11861987927599957,low,92656,2.67,small,9.0,3.1,2025-04-08
Aluminium,Wet painted,32.6,1.123,Kilspår,0.1144033751910395,high,40156,3.53,small,7.0,4.02,2025-04-30
Iron,Brushed,26.5,1.556,Skenprofil,0.12849521498608896,high,70469,3.61,medium,12.0,3.49,2025-10-20
Steel,Powder coated,17.1,1.65,Kantprofil,0.10772062642118826,medium,61104,3.15,medium,4.0,3.65,2025-10-31
Steel,Wet painted,28.7,1.232,Kopplingsprofil,0.1537915110371703,low,68090,4.07,micro,2.0,3.53,2025-07-18
Brass,Brushed,37.9,1.666,H-profil,0.06952300512849174,high,63288,3.94,small,8.0,3.61,2025-01-01
Titanium,Electroplated,19.8,1.181,Glasningslist,0.07332798254676129,medium,142279,3.68,large,2.0,2.22,2025-03-01
Copper,Anodized,31.7,1.715,Mittpost,0.07880755519487238,high,108748,3.68,medium,2.0,2.81,2025-09-07
Brass,Powder coated,20.4,0.919,Doldbeslag,0.08817201743616442,high,70806,2.95,micro,10.0,3.48,2025-05-20
Zinc,Plasma sprayed,28.1,1.463,Glashållare,0.1382211108029536,high,145730,3.59,small,11.0,2.16,2025-05-29
Copper,Chrome plated,18.0,1.287,Glaskil,0.06516474199278881,high,120204,2.87,large,8.0,2.61,2025-02-13
Iron,Chrome plated,26.1,1.19,Vinkellist,0.18046993659517568,medium,99606,2.78,medium,12.0,2.97,2025-07-05
Copper,Electroplated,33.2,1.413,J-profil,0.09956829690198138,high,44605,4.14,large,5.0,3.95,2025-04-18
Titanium,Hot-dip galvanized,23.8,1.478,Hakprofil,0.07142709021278351,medium,42269,3.54,medium,7.0,3.99,2025-02-13
Copper,Hot-dip galvanized,31.1,0.841,Mittpost,0.15892893385470946,high,44704,3.24,micro,2.0,3.94,2025-03-19
Iron,Electroplated,34.1,0.989,T-profil,0.06032793949216928,low,41289,3.01,large,8.0,4.0,2025-08-14
Titanium,Wet painted,37.2,1.487,Skarvprofil,0.13034408318201618,medium,97605,3.51,small,7.0,3.01,2025-06-11
Tin,Powder coated,21.2,1.444,J-profil,0.1566066246953741,low,68283,2.63,small,5.0,3.53,2025-10-08
Steel,Chrome plated,25.0,1.717,Kantprofil,0.08227231112874862,high,142584,2.7,medium,8.0,2.21,2025-09-10
Steel,Chrome plated,19.3,1.53,Skenprofil,0.06034915026482287,low,71762,2.6,small,4.0,3.47,2025-05-12
Lead,Wet painted,38.7,1.703,Sidoprofil,0.10430804000516647,high,51660,3.34,large,2.0,3.82,2025-05-24
Tin,Chrome plated,37.2,1.477,Kopplingsprofil,0.07845910171652332,high,117957,3.5,micro,5.0,2.65,2025-09-23
Tin,Plasma sprayed,28.2,1.109,Mittpost,0.07417840598326719,medium,58587,2.65,medium,4.0,3.7,2025-04-19
Copper,Powder coated,35.2,0.933,Avvattningsprofil,0.08169333381547107,medium,97772,3.7,large,2.0,3.01,2025-07-13
Steel,Phosphated,27.8,1.549,Korsprofil,0.10486328708966815,high,147740,2.92,medium,3.0,2.12,2025-02-04
Iron,Chrome plated,30.2,1.424,Korsprofil,0.13238637227863256,medium,141265,3.64,micro,12.0,2.24,2025-10-02
Nickel,Electroplated,17.8,0.881,Z-profil,0.16270140260553587,low,93613,4.11,medium,6.0,3.08,2025-07-06
Nickel,Plasma sprayed,33.2,1.165,L-profil,0.14487495628982777,low,66460,3.65,small,9.0,3.56,2025-08-31
Titanium,Chrome plated,18.7,1.709,Täckprofil,0.07250707161377293,medium,39089,3.95,small,2.0,4.04,2025-09-21
Steel,Blackening,34.8,1.293,Z-profil,0.0792961925446528,low,59481,4.06,medium,5.0,3.68,2025-01-10
Steel,Plasma sprayed,33.8,1.231,Täckprofil,0.1836232507068626,medium,46685,3.32,micro,5.0,3.91,2025-06-15
Nickel,Brushed,32.1,1.254,Doldbeslag,0.12782073542654246,high,114897,3.67,micro,6.0,2.7,2025-01-29
Steel,Phosphated,16.6,1.027,Rörprofil,0.18804281102045636,low,97941,3.9,small,8.0,3.0,2025-09-28
Copper,Polished,22.7,1.173,Kilspår,0.11213479338058496,high,76547,3.12,micro,9.0,3.38,2025-03-28
Zinc,Electroplated,21.8,1.174,Karmlist,0.15056022322314114,low,118973,2.97,medium,7.0,2.63,2025-01-23
Aluminium,Electroplated,24.1,0.885,Baslister,0.13739985319767217,high,132550,4.06,large,2.0,2.39,2025-07-29
Tin,Powder coated,17.8,1.536,Korsprofil,0.09861394090079456,high,37844,3.7,medium,8.0,4.06,2025-02-15
Lead,Plasma sprayed,37.4,1.217,Sidoprofil,0.12976221504779467,medium,148083,2.9,small,4.0,2.12,2025-01-28
Titanium,Wet painted,28.5,1.586,Sidoprofil,0.13055948239896073,high,45575,3.26,small,7.0,3.93,2025-01-26
Zinc,Electroplated,22.8,1.612,Baslister,0.0886705995742516,medium,137589,3.82,small,9.0,2.3,2025-09-23
Nickel,Plasma sprayed,24.9,1.03,Skarvprofil,0.10023008568366734,low,95548,3.42,micro,8.0,3.04,2025-06-24
Tin,Plasma sprayed,26.1,1.436,H-profil,0.15470528264968836,high,66850,3.58,medium,11.0,3.55,2025-01-04
Steel,Blackening,29.6,1.267,Stödprofil,0.17719997966963502,high,85993,3.75,large,7.0,3.21,2025-11-07
Lead,Anodized,27.7,1.639,Spröjsprofil,0.1058000844194345,low,51941,3.54,medium,10.0,3.82,2025-11-18
Steel,Anodized,37.0,1.034,Täckprofil,0.09352961646170066,high,104049,3.41,large,10.0,2.89,2025-03-08
Iron,Polished,27.2,1.455,Anslagslist,0.0659831233560334,high,157177,3.74,medium,2.0,1.95,2025-05-15
Iron,Brushed,38.7,1.391,Glaskil,0.15936866985380982,low,112321,3.71,small,,2.75,2025-02-24
Lead,Polished,35.4,1.106,Doldbeslag,0.09890055283025054,medium,47905,3.55,large,2.0,3.89,2025-01-31
Lead,Chrome plated,20.6,0.962,Distansprofil,0.1942529113869841,low,135473,3.12,medium,9.0,2.34,2025-03-15
Nickel,Wet painted,37.3,1.431,Fönsterbåge,0.11295785965894138,low,83013,3.2,micro,11.0,3.27,2025-01-19
Lead,Chrome plated,18.4,1.51,Kopplingsprofil,0.11428688141132527,high,52690,4.09,micro,8.0,3.8,2025-06-05
Copper,Hot-dip galvanized,34.6,1.125,Dekorlist,0.13315790951145234,medium,107703,2.73,medium,4.0,2.83,2025-12-03
Steel,Chrome plated,24.5,1.425,J-profil,0.18574761474142548,low,90766,2.98,small,3.0,3.13,2025-06-05
Zinc,Powder coated,36.0,1.197,Droppnäsa,0.11541320938094021,medium,36281,3.33,large,5.0,4.09,2025-05-27
Brass,Chrome plated,35.8,1.487,Pärlspont,0.11629229204373806,medium,41793,3.88,medium,4.0,4.0,2025-03-28
Lead,Polished,34.4,1.019,Skenprofil,0.2,medium,103518,2.81,micro,8.0,2.9,2025-01-20
Titanium,Electroplated,34.0,1.648,Karmprofil,0.05103774168807938,high,103618,2.99,large,11.0,2.9,2025-09-26
Iron,Electroplated,22.8,1.099,Kantprofil,0.1827231074006861,low,147931,2.65,micro,9.0,2.12,2025-11-29
Copper,Anodized,17.6,1.172,Mittpost,0.0787054024722506,high,151538,3.67,micro,7.0,2.05,2025-02-12
Tin,Wet painted,25.1,0.89,Doldbeslag,0.1853799600042001,low,127635,2.93,medium,4.0,2.48,2025-11-02
Brass,Wet painted,19.7,0.939,Kantskydd,0.14156439580839125,low,139741,3.17,micro,7.0,2.26,2025-01-28
Zinc,Powder coated,31.8,1.307,Hörnvinkel,0.10692484126744252,high,49284,3.26,large,3.0,3.86,2025-09-17
Brass,Polished,23.7,1.081,Glaskil,0.18299583097843164,medium,157880,3.97,small,8.0,1.94,2025-01-22
Lead,Anodized,38.3,1.598,Mittpost,0.05,medium,143616,3.2,medium,12.0,2.19,2025-04-11
Nickel,Blackening,30.6,0.851,Mittpost,0.0927835956724606,low,55060,2.78,large,11.0,3.76,2025-02-08
Iron,Hot-dip galvanized,34.8,1.183,Glashållare,0.12354348238689034,high,123829,3.38,medium,8.0,2.54,2025-10-17
Iron,Wet painted,18.8,1.144,Fönsterbleck,0.10452474467400125,medium,33824,4.08,micro,5.0,4.14,2025-12-19
Tin,Electroplated,35.7,0.855,F-profil,0.13386231393651085,medium,150754,3.52,micro,9.0,2.07,2025-10-27
Nickel,Chrome plated,37.1,0.951,Karmlist,0.05,low,81702,4.11,large,5.0,3.29,2025-06-19
Steel,Chrome plated,27.0,1.214,Ramlist,0.05428614482299458,low,123956,3.89,large,8.0,2.54,2025-10-23
Aluminium,Anodized,29.8,1.286,Mittpost,0.07185584972900017,high,97914,2.61,small,5.0,3.0,2025-12-19
Copper,Polished,33.4,1.205,Glashållare,0.0788713352041538,low,68191,3.6,large,6.0,3.53,2025-05-10
Iron,Polished,19.8,1.321,Ändprofil,0.12168700320252514,medium,123309,3.01,large,8.0,2.55,2025-06-05
Titanium,Brushed,27.4,1.379,Sidoprofil,0.15260154395494138,medium,72132,3.44,medium,11.0,3.46,2025-03-15
Iron,Phosphated,25.0,0.846,Hörnvinkel,0.18669417257335472,medium,78136,2.99,micro,4.0,3.35,2025-12-08
Brass,Wet painted,19.1,1.26,U-profil,0.17138745302671077,medium,106253,3.1,large,11.0,2.86,2025-03-31
Iron,Polished,24.2,1.715,Doldbeslag,0.08368115723897997,high,45662,4.02,small,6.0,3.93,2025-03-08
Iron,Electroplated,17.3,1.31,Isolerprofil,0.11828476010612424,high,99045,2.88,large,12.0,2.98,2025-08-24
Aluminium,Anodized,16.3,1.454,Foglist,0.07510210913281679,low,70221,3.94,micro,4.0,3.49,2025-07-19
Aluminium,Hot-dip galvanized,18.9,1.121,Sidoprofil,0.08357862932360176,low,102734,2.6,large,6.0,2.92,2025-11-28
Zinc,Brushed,38.0,1.542,Sidoprofil,0.1308353693506137,low,160017,2.69,medium,4.0,1.9,2025-08-15
Steel,Plasma sprayed,28.4,1.541,Karmprofil,0.05711821690277246,high,50862,3.91,micro,12.0,3.83,2025-12-14
Titanium,Powder coated,38.1,1.312,Ytterram,0.07935896261381357,medium,96810,3.55,large,11.0,3.02,2025-08-21
Iron,Hot-dip galvanized,25.7,1.726,Mittpost,0.1837744155888754,low,108707,3.74,medium,12.0,2.81,2025-09-23
Iron,Plasma sprayed,22.9,0.952,Skenprofil,0.12694317498578092,medium,39910,2.88,micro,8.0,4.03,2025-03-27
Copper,Blackening,27.4,0.853,Vinkellist,0.12098815741836334,low,141681,3.4,large,2.0,2.23,2025-04-12
Aluminium,Chrome plated,25.9,1.539,Glaskil,0.05272735767799667,low,125218,3.72,medium,10.0,2.52,2025-08-02
Titanium,Powder coated,18.2,1.572,Z-profil,0.10399669434040429,medium,48091,3.55,small,10.0,3.88,2025-04-18
Tin,Wet painted,30.6,0.947,Kopplingsprofil,0.18143160431678867,low,90347,3.3,medium,6.0,3.14,2025-06-14
Zinc,Electroplated,20.7,1.079,Kilspår,0.09159182649852525,low,133148,4.08,small,10.0,2.38,2025-04-01
Steel,Powder coated,30.1,0.853,Bottenlist,0.09997129230589363,medium,136126,3.63,large,11.0,2.33,2025-07-11
Nickel,Phosphated,30.8,1.104,Avvattningsprofil,0.05,low,100206,3.99,medium,7.0,2.96,2025-12-01
Steel,Plasma sprayed,19.2,1.541,Glashållare,0.11473698801352153,medium,51965,3.71,small,,3.82,2025-03-27
Brass,Wet painted,17.1,1.309,L-profil,0.06380271943998624,high,102546,3.72,micro,4.0,2.92,2025-08-10
Iron,Phosphated,33.8,1.154,Skenprofil,0.1853204357180507,high,98164,2.68,medium,12.0,3.0,2025-12-29
Zinc,Chrome plated,26.4,1.176,Mittpost,0.169704234610582,medium,78751,3.12,large,12.0,3.34,2025-04-11
Brass,Phosphated,17.1,0.838,H-profil,0.17162475021871454,high,136183,3.91,micro,9.0,2.33,2025-08-14
Titanium,Brushed,38.8,1.11,Tätningslist,0.0890176322170622,high,118448,2.92,small,5.0,2.64,2025-12-30
Nickel,Brushed,17.1,1.426,Glaskil,0.15966689004992599,low,78190,2.73,medium,11.0,3.35,2025-03-01
Aluminium,Blackening,31.8,1.724,Foglist,0.11856873093312226,low,39094,3.07,medium,,4.04,2025-09-07
Zinc,Anodized,38.5,1.609,L-profil,0.10476064855759863,low,65188,2.9,large,7.0,3.58,2025-02-17
Zinc,Hot-dip galvanized,21.3,0.859,Avvattningsprofil,0.12693081501154418,low,39049,4.02,micro,9.0,4.04,2025-04-27
Iron,Hot-dip galvanized,19.0,1.656,Mittpost,0.05449338836614379,medium,78831,3.93,medium,10.0,3.34,2025-08-15
Lead,Wet painted,18.5,1.551,Skruvkanal,0.06178784600618411,low,147952,3.34,medium,7.0,2.12,2025-12-28
Zinc,Chrome plated,22.7,1.548,Droppnäsa,0.15901929907902687,medium,52908,2.65,micro,6.0,3.8,2025-02-02
Copper,Polished,18.1,1.254,L-profil,0.09012161115204063,low,113286,3.69,medium,12.0,2.73,2025-02-13
Nickel,Blackening,31.7,1.2,Droppnäsa,0.14307936099574592,high,101511,3.54,micro,,2.94,2025-06-14
Nickel,Brushed,17.2,1.113,Innerbåge,0.11059384391831692,low,152682,4.09,micro,3.0,2.03,2025-12-11
Copper,Wet painted,27.5,0.897,Glashållare,0.1805317646959462,medium,116296,3.44,micro,10.0,2.68,2025-10-19
Tin,Polished,38.8,1.045,Glasningslist,0.18305239328503864,medium,88317,3.08,large,3.0,3.17,2025-12-03
Copper,Hot-dip galvanized,34.6,1.062,Hakprofil,0.1817141951403811,high,136247,3.38,micro,3.0,2.32,2025-12-10
Copper,Anodized,30.0,1.278,Ramlist,0.09298521223410106,medium,89976,4.11,micro,4.0,3.14,2025-10-14
Nickel,Phosphated,22.8,5.173416,Sidoprofil,0.07103365306119569,low,43860,3.66,small,4.0,3.96,2025-12-30
Steel,Brushed,30.2,1.269,Spröjsprofil,0.12876675500481752,low,86701,3.62,small,5.0,3.2,2025-08-13
Nickel,Wet painted,27.9,0.89,Clipsprofil,0.05,high,82768,2.93,large,8.0,3.27,2025-10-13
Lead,Powder coated,25.6,1.71,J-profil,0.05201461503345828,medium,148184,3.73,micro,10.0,2.11,2025-07-23
Iron,Polished,18.8,1.696,Isolerprofil,0.12482702825120853,high,64763,3.74,small,3.0,3.59,2025-06-21
Brass,Phosphated,36.2,1.552,L-profil,0.13251784405874079,medium,63963,3.05,small,5.0,3.6,2025-01-12
Steel,Brushed,26.1,1.74,F-profil,0.19887261998609432,high,145987,3.32,medium,10.0,2.15,2025-11-03
Aluminium,Hot-dip galvanized,20.2,1.333,Ventilationslister,0.09041187633343072,medium,101006,3.02,micro,3.0,2.95,2025-05-01
Brass,Chrome plated,24.2,1.714,Ytterram,0.08050357602567565,high,91073,2.96,small,11.0,3.12,2025-09-01
Iron,Polished,25.3,0.906,Karmlist,0.07025171271072173,medium,65423,2.59,large,12.0,3.58,2025-06-01
Lead,Hot-dip galvanized,34.9,1.17,Clipsprofil,0.18747970880190734,medium,126646,3.0,medium,2.0,2.49,2025-06-01
Lead,Brushed,32.7,1.043,Z-profil,0.1641256910300156,low,42018,3.43,medium,11.0,3.99,2025-07-07
Aluminium,Polished,33.5,1.016,Tätningslist,0.16940754096963354,low,159077,2.55,micro,9.0,1.92,2025-01-13
Steel,Blackening,16.0,0.965,Rörprofil,0.190370357474491,low,94937,3.0,micro,10.0,3.06,2025-04-01
