Alloy,Finish,Length,Weight,Tolerances,GD_T,Order_Quantity,LME_price,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date,Profile_Name,Profile_Complexity,Manufacturing_Difficulty,LME_MA_7,LME_Lag_1
1.0,3.0,27.7,1.591,0.172,2.0,123437,3.56,0.0,5.0,2.35,2025-01-08,3.016381209738393,1.2689569003060872,3,3.291428571428572,2.58
3.0,6.0,16.4,1.192,0.143,0.0,139344,3.51,0.0,5.0,2.12,2025-01-08,3.087997768086914,1.0987890292308666,1,3.414285714285714,3.56
0.0,3.0,16.5,1.568,0.179,2.0,34193,3.73,2.0,4.0,3.87,2025-01-09,3.022295187311776,0.7990753841213706,3,3.357142857142857,3.51
3.0,2.0,29.9,1.592,0.199,2.0,157763,3.63,1.0,7.0,2.13,2025-01-09,3.1117428131408658,1.5637988221087544,3,3.31,3.73
2.0,2.0,19.6,0.911,0.161,2.0,100622,2.73,1.0,7.33,2.83,2025-01-09,3.013266410547321,1.5978729210111986,3,3.2785714285714285,3.63
2.0,0.0,19.1,1.26,0.075,2.0,101903,3.93,0.0,5.0,2.92,2025-01-09,2.9550344537328104,0.9313568424492442,1,3.3814285714285712,2.73
2.0,3.0,29.9,1.017,0.172,0.0,33768,3.25,2.0,8.0,3.92,2025-01-10,3.1466564880282992,0.6898433073820822,3,3.4771428571428573,3.93
2.0,5.0,20.7,1.283,0.199,0.0,150661,3.67,3.0,11.0,1.98,2025-01-11,3.0025806634131804,1.1513099236317637,2,3.492857142857143,3.25
4.0,3.0,33.9,1.107,0.169,0.0,45575,3.19,0.0,7.0,3.97,2025-01-12,3.0831076548036767,0.9031307297794842,3,3.447142857142857,3.67
5.0,0.0,37.2,1.495,0.123,0.0,105774,3.99,3.0,8.0,2.73,2025-01-12,3.012852579287133,1.32501376288382,2,3.4842857142857144,3.19
4.0,4.0,28.3,1.271,0.06,2.0,73227,2.94,0.0,8.0,3.58,2025-01-12,3.013513887499976,1.2957701772445782,1,3.385714285714286,3.99
5.0,7.0,30.2,1.312,0.091,0.0,145453,2.67,2.0,8.0,2.1,2025-01-13,3.0962788541735726,1.5205730309039498,1,3.377142857142857,2.94
3.0,6.0,21.7,1.716,0.173,0.0,60861,3.99,2.0,2.0,3.6,2025-01-13,3.10689643256313,1.9314808030506492,2,3.385714285714286,2.67
5.0,6.0,27.0,1.648,0.053,1.0,41547,3.26,2.0,7.13,3.8,2025-01-13,3.1117428131408658,0.9943910400133472,3,3.387142857142857,3.99
4.0,2.0,18.5,1.597,0.165,2.0,83011,4.06,3.0,4.0,3.53,2025-01-13,2.941214429166024,1.2337434741709643,3,3.4428571428571426,3.26
2.0,7.0,30.5,1.026,0.052,2.0,104661,3.46,2.0,10.0,2.89,2025-01-13,3.07952790794112,1.3760408961872552,1,3.481428571428572,4.06
3.0,0.0,30.0,1.328,0.172,1.0,126021,3.25,3.0,4.0,2.39,2025-01-13,3.020723950915925,1.1487413572353034,1,3.375714285714285,3.46
1.0,2.0,28.2,1.476,0.163,2.0,76760,3.16,0.0,10.0,3.6,2025-01-14,3.1074473460558387,1.6706947327529522,2,3.407142857142857,3.25
5.0,3.0,17.0,1.101,0.137,0.0,98164,3.49,0.0,4.0,3.01,2025-01-14,3.037531183193787,0.7867449386258691,3,3.5242857142857145,3.16
1.0,3.0,37.4,1.715,0.107,2.0,160063,3.62,3.0,3.0,1.83,2025-01-14,3.022295187311776,0.9929346908359413,2,3.471428571428571,3.49
4.0,6.0,20.4,0.919,0.067,2.0,91201,4.06,3.0,3.0,2.81,2025-01-14,3.1466564880282992,1.6877712679604246,2,3.585714285714286,3.62
0.0,2.0,19.7,0.939,0.186,1.0,62862,3.55,3.0,12.0,3.36,2025-01-15,3.0025806634131804,1.6983855353484938,3,3.512857142857143,4.06
2.0,5.0,21.1,0.949,0.19,2.0,45588,3.08,2.0,11.0,3.92,2025-01-15,3.062259065444224,1.0594287762364014,3,3.4585714285714286,3.55
3.0,4.0,22.0,0.85,0.167,1.0,37877,3.69,2.0,6.0,4.25,2025-01-15,3.07952790794112,1.1620327177983656,3,3.521428571428572,3.08
3.0,6.0,16.5,1.217,0.059,1.0,42400,3.95,1.0,7.0,4.05,2025-01-15,2.8745017071655603,0.5074828320916744,3,3.6342857142857135,3.69
0.0,4.0,18.0,1.287,0.094,2.0,33344,2.9,2.0,4.0,4.08,2025-01-15,3.037531183193787,1.940862113581367,1,3.5500000000000003,3.95
5.0,0.0,29.7,1.303,0.064,0.0,158577,3.21,1.0,9.0,1.89,2025-01-15,2.937517715389649,1.4945276108976564,3,3.4914285714285715,2.9
4.0,6.0,35.0,0.986,0.077,2.0,150754,3.83,3.0,11.0,1.86,2025-01-16,3.062259065444224,1.0311643237094765,1,3.4585714285714286,3.21
1.0,6.0,30.9,1.019,0.06,0.0,68745,3.21,2.0,7.0,3.4,2025-01-16,3.023203278153176,0.9044372461800836,1,3.41,3.83
3.0,5.0,17.6,1.221,0.112,1.0,133262,4.02,3.0,2.0,2.39,2025-01-17,3.034301951522985,1.5583601812653882,3,3.544285714285714,3.21
5.0,7.0,36.5,1.272,0.121,0.0,117769,2.88,2.0,5.0,2.62,2025-01-18,2.994224845840621,1.2901958598568657,1,3.4285714285714284,4.02
2.0,2.0,19.5,1.586,0.198,0.0,63066,3.84,2.0,12.0,3.71,2025-01-18,3.10689643256313,1.048605338693008,2,3.4128571428571424,2.88
3.0,7.0,27.5,0.859,0.149,2.0,111396,3.28,3.0,2.0,2.61,2025-01-18,3.022295187311776,1.8634855532315557,1,3.467142857142857,3.84
5.0,5.0,25.2,1.152,0.187,1.0,147931,3.4,0.0,5.0,2.08,2025-01-19,2.9604674090272924,1.794789006326131,3,3.4942857142857138,3.28
4.0,3.0,19.6,1.147,0.167,0.0,36851,3.71,3.0,11.0,3.96,2025-01-19,3.09652277694896,1.0960047239169426,2,3.4771428571428573,3.4
1.0,2.0,26.4,1.387,0.177,2.0,58440,3.39,3.0,4.0,3.54,2025-01-19,2.9550344537328104,1.8902009248846803,1,3.5028571428571427,3.71
5.0,6.0,24.3,1.378,0.149,0.0,144215,3.01,0.0,5.43,2.21,2025-01-19,2.9637103005195686,0.5475790907281621,2,3.358571428571428,3.39
5.0,6.0,20.0,0.984,0.136,1.0,90326,3.24,1.0,6.0,3.31,2025-01-19,2.99752,0.6788213775375529,1,3.41,3.01
4.0,1.0,36.1,1.382,0.096,2.0,148416,3.62,2.0,4.0,2.11,2025-01-19,2.971753113841859,0.7294990972472505,2,3.378571428571429,3.24
5.0,6.0,37.0,1.383,0.183,0.0,59604,3.33,2.0,12.0,3.51,2025-01-20,3.07952790794112,1.1957274340038666,1,3.3857142857142857,3.62
4.0,6.0,17.3,1.119,0.11,2.0,102546,3.48,2.0,5.54,2.98,2025-01-20,3.041944162037055,0.8679285510690162,3,3.397142857142857,3.33
1.0,3.0,16.2,0.985,0.16,1.0,109170,3.38,2.0,11.0,2.83,2025-01-20,3.013266410547321,0.9028956352882932,2,3.35,3.48
3.0,6.0,35.2,1.721,0.093,0.0,106253,4.03,2.0,12.0,2.92,2025-01-20,3.1466564880282992,0.6661901478849714,1,3.4414285714285717,3.38
4.0,3.0,32.4,1.02,0.151,1.0,131544,3.15,2.0,5.0,2.38,2025-01-21,3.016381209738393,0.6120670687582351,1,3.4614285714285717,4.03
1.0,7.0,29.3,1.572,0.077,0.0,58587,2.97,1.0,3.0,3.67,2025-01-21,3.0962788541735726,0.5592893306575359,1,3.422857142857143,3.15
5.0,2.0,38.7,1.569,0.062,2.0,82808,2.67,2.0,3.0,3.13,2025-01-21,3.034301951522985,1.7089546018568127,2,3.287142857142857,2.97
1.0,5.0,20.5,1.681,0.08,2.0,74798,3.17,2.0,8.69,3.21,2025-01-22,3.013266410547321,1.3586796692176466,3,3.2642857142857147,2.67
1.0,4.0,38.2,1.48,0.054,2.0,154989,3.33,2.0,7.0,1.99,2025-01-22,3.046009221581059,1.604395973345721,3,3.242857142857143,3.17
5.0,5.0,27.6,1.356,0.06,1.0,159306,2.66,0.0,12.0,1.94,2025-01-23,3.0582575898647795,1.636368236079269,1,3.14,3.33
3.0,3.0,28.6,0.954,0.07,0.0,144560,3.57,2.0,2.0,1.99,2025-01-23,2.8482505569999232,1.5529643875174113,1,3.0742857142857143,2.66
1.0,4.0,16.2,0.9,0.085,2.0,82768,2.91,1.0,4.0,3.44,2025-01-24,3.0831076548036767,0.7131114739336355,1,3.04,3.57
1.0,1.0,27.0,1.497,0.102,2.0,150043,4.01,3.0,10.0,2.08,2025-01-24,2.9637103005195686,0.5596731184440806,2,3.1885714285714286,2.91
2.0,0.0,32.3,1.106,0.064,2.0,92202,3.39,1.0,2.0,3.09,2025-01-24,3.10689643256313,0.8687050303964481,3,3.291428571428572,4.01
3.0,5.0,19.6,1.082,0.19,2.0,97354,3.32,3.0,12.0,3.03,2025-01-25,3.022545908717656,1.7563928663767114,2,3.3128571428571427,3.39
1.0,0.0,18.1,1.311,0.059,1.0,51943,3.61,3.0,8.0,4.21,2025-01-25,2.9550344537328104,1.1537264374781335,1,3.3528571428571428,3.32
2.0,7.0,25.6,1.058,0.102,1.0,57551,3.72,1.0,9.0,3.77,2025-01-26,3.021062726997556,1.8722582345580272,3,3.5042857142857144,3.61
4.0,7.0,32.3,0.904,0.148,2.0,141195,3.2,0.0,12.0,2.31,2025-01-26,3.013266410547321,0.7528559329604678,1,3.4514285714285715,3.72
3.0,1.0,25.5,1.622,0.189,0.0,36281,2.71,3.0,2.0,3.51,2025-01-26,3.016381209738393,1.7380287795377176,1,3.422857142857143,3.2
2.0,5.0,38.7,1.391,0.143,1.0,49438,3.44,0.0,10.0,4.04,2025-01-26,3.2014768663798443,1.9409835486349112,1,3.341428571428572,2.71
4.0,3.0,19.8,1.113,0.11,0.0,137179,3.4,3.0,4.0,2.22,2025-01-26,2.9637103005195686,1.206274010781425,2,3.342857142857143,3.44
0.0,0.0,38.5,1.609,0.051,1.0,32374,3.49,2.0,4.0,4.19,2025-01-27,3.10689643256313,0.9045663392452062,2,3.367142857142857,3.4
5.0,4.0,31.1,0.841,0.072,2.0,78994,3.58,3.0,5.0,3.36,2025-01-27,2.8745017071655603,1.3463778538631077,1,3.3628571428571434,3.49
3.0,5.0,19.2,1.73,0.059,2.0,79957,2.6,1.0,11.0,2.98,2025-01-27,3.044509155857308,1.106425095803694,1,3.2028571428571424,3.58
4.0,1.0,30.2,0.845,0.087,0.0,68974,3.12,2.0,7.0,3.5,2025-01-28,3.1074473460558387,0.7257260104123675,1,3.1914285714285717,2.6
3.0,4.0,30.8,1.639,0.199,2.0,148828,2.81,3.0,3.0,2.1,2025-01-28,3.034301951522985,0.9899316128262984,2,3.205714285714285,3.12
5.0,7.0,24.5,1.068,0.161,2.0,67621,3.36,2.0,4.0,3.75,2025-01-28,3.0962788541735726,0.539055420327172,1,3.194285714285715,2.81
1.0,3.0,17.7,1.378,0.184,2.0,126637,2.96,2.0,4.0,2.45,2025-01-28,2.994224845840621,1.3370745556464192,1,3.1314285714285712,3.36
4.0,1.0,27.7,1.5945,0.16,2.0,98644,3.42,0.0,4.0,2.83,2025-01-29,3.0115077099347927,1.9355548442761012,2,3.1214285714285714,2.96
0.0,3.0,30.9,1.632,0.098,1.0,121626,3.48,2.0,10.0,2.49,2025-01-29,3.034301951522985,1.0458600404690752,2,3.107142857142857,3.42
4.0,7.0,18.5,1.015,0.091,0.0,103618,3.13,1.0,11.0,3.07,2025-01-29,3.1074473460558387,0.5513329139153759,2,3.182857142857143,3.48
0.0,6.0,21.3,0.859,0.054,0.0,156473,3.52,1.0,2.0,2.01,2025-01-29,3.012490712924881,1.2820125324191907,2,3.24,3.13
5.0,1.0,34.3,0.845,0.089,2.0,73157,3.53,3.0,10.0,3.29,2025-01-29,3.1120282297979407,0.9645993108667094,2,3.3428571428571425,3.52
3.0,1.0,23.0,1.328,0.18,0.0,101293,3.95,1.0,6.0,3.05,2025-01-30,3.012490712924881,1.9254193832811057,2,3.427142857142857,3.53
1.0,5.0,28.4,1.541,0.174,1.0,74312,3.44,0.0,6.0,3.43,2025-01-30,2.9637103005195686,1.5961098489054928,1,3.495714285714286,3.95
2.0,0.0,33.7,1.727,0.052,1.0,33067,2.85,3.0,11.0,4.4,2025-01-31,3.09652277694896,1.2154031589104768,1,3.414285714285714,3.44
2.0,4.0,31.0,1.417,0.093,1.0,108778,3.28,3.0,2.0,2.76,2025-01-31,3.046009221581059,1.3206401859309662,3,3.3857142857142857,2.85
5.0,5.0,24.8,1.421,0.168,0.0,159198,3.55,1.0,4.0,1.84,2025-02-01,3.0820983132609805,1.9617506938712976,3,3.4457142857142857,3.28
0.0,0.0,31.2,1.39,0.197,1.0,139412,3.9,2.0,11.0,2.24,2025-02-01,2.8482505569999232,0.6998867715992616,2,3.5,3.55
0.0,6.0,27.6,0.921,0.122,2.0,112964,3.76,1.0,12.0,2.56,2025-02-01,3.09652277694896,0.9570876475606611,3,3.5328571428571425,3.9
5.0,1.0,36.7,1.117,0.142,2.0,116296,2.72,2.0,5.0,2.77,2025-02-02,3.062259065444224,1.3646894881350027,3,3.357142857142857,3.76
5.0,4.0,19.8,1.703,0.144,1.0,113471,3.9,1.0,11.0,2.56,2025-02-02,2.9604674090272924,1.3384883444322215,3,3.4228571428571426,2.72
2.0,4.0,21.4,1.563,0.169,2.0,118448,3.37,0.0,10.0,2.63,2025-02-03,3.037531183193787,1.011702791073513,2,3.4971428571428573,3.9
3.0,6.0,27.7,1.303,0.11,0.0,99436,3.24,0.0,4.0,3.0,2025-02-03,3.016381209738393,1.7156048284931709,2,3.491428571428571,3.37
4.0,0.0,22.8,1.518,0.129,0.0,63973,2.82,0.0,8.0,3.35,2025-02-03,2.9637103005195686,0.7874518484746011,3,3.387142857142857,3.24
3.0,1.0,30.5,1.123,0.067,0.0,58293,3.62,2.0,2.0,3.64,2025-02-04,3.0582575898647795,1.1718318453068,2,3.347142857142857,2.82
3.0,0.0,26.4,1.731,0.145,0.0,67790,4.1,0.0,9.0,3.55,2025-02-04,3.087997768086914,1.549784192102078,3,3.3957142857142864,3.62
1.0,2.0,37.3,1.191,0.191,2.0,140874,3.38,0.0,7.0,2.14,2025-02-06,2.937517715389649,0.8255923655711483,1,3.49,4.1
4.0,0.0,16.9,1.428,0.133,2.0,113518,2.99,1.0,4.0,2.68,2025-02-06,3.043530945336403,1.94297924323419,3,3.36,3.38
0.0,1.0,31.8,0.903,0.098,2.0,43037,3.33,2.0,2.0,4.19,2025-02-06,3.023203278153176,1.200498260322132,3,3.3542857142857145,2.99
0.0,6.0,31.6,1.638,0.085,2.0,112352,3.29,2.0,3.0,2.96,2025-02-06,3.1074473460558387,0.7028293938688482,3,3.361428571428572,3.33
3.0,0.0,16.7,1.526,0.148,2.0,82056,3.99,1.0,11.0,3.36,2025-02-07,3.1466564880282992,1.2663503429389533,1,3.528571428571429,3.29
2.0,2.0,31.2,0.93,0.18,2.0,95968,2.92,0.0,6.0,3.1,2025-02-07,3.011032233730564,0.9696948791576196,2,3.4285714285714284,3.99
5.0,6.0,32.8,1.4665,0.129,1.0,118007,3.04,3.0,6.0,2.74,2025-02-08,3.020723950915925,1.3297531577602277,1,3.2771428571428567,2.92
2.0,7.0,30.0,1.415,0.084,1.0,81764,3.04,0.0,3.0,2.96,2025-02-08,3.0648188372108853,0.51799492144351,1,3.2285714285714286,3.04
3.0,6.0,32.3,0.917,0.155,1.0,154706,4.13,2.0,10.0,1.98,2025-02-09,3.022295187311776,1.1322770171469443,3,3.391428571428572,3.04
2.0,4.0,24.5,1.02,0.084,2.0,59327,3.21,3.0,5.0,3.71,2025-02-09,3.023203278153176,1.800619448640411,1,3.374285714285714,4.13
5.0,4.0,24.3,1.167,0.076,0.0,64119,2.7,3.0,7.33,3.97,2025-02-10,3.020723950915925,1.159635047161104,3,3.29,3.21
3.0,1.0,24.0,1.444,0.161,1.0,32753,3.91,0.0,3.0,4.22,2025-02-10,3.087997768086914,1.3012493416639976,3,3.2785714285714285,2.7
3.0,3.0,22.7,1.173,0.098,2.0,52955,3.17,2.0,9.0,3.88,2025-02-10,2.9937236900826454,1.3986136711033506,3,3.314285714285714,3.91
1.0,5.0,21.4,1.45,0.068,0.0,121019,3.38,1.0,12.0,2.73,2025-02-11,3.07952790794112,1.1157484624861782,3,3.3628571428571425,3.17
3.0,4.0,36.4,0.959,0.118,2.0,67108,2.95,3.0,8.0,3.31,2025-02-11,3.0280315598013106,0.9184441435831754,2,3.3500000000000005,3.38
2.0,2.0,22.1,1.084,0.067,1.0,135835,3.94,0.0,3.0,2.43,2025-02-12,3.0648188372108853,1.0252542673137344,3,3.3228571428571425,2.95
4.0,6.0,22.6,1.292,0.191,1.0,131489,3.71,1.0,9.0,2.61,2025-02-12,3.034301951522985,0.58363227558674,3,3.394285714285714,3.94
3.0,6.0,30.2,1.424,0.08,1.0,152350,2.98,1.0,8.0,2.24,2025-02-12,2.937517715389649,1.7914763858990919,1,3.434285714285714,3.71
5.0,7.0,28.6,0.975,0.171,2.0,37186,2.83,0.0,6.82,3.95,2025-02-12,3.043530945336403,1.5702780104663439,3,3.28,2.98
3.0,3.0,19.2,1.636,0.199,0.0,38096,3.02,0.0,9.0,4.41,2025-02-13,3.0115077099347927,0.7655385368930538,3,3.258571428571429,2.83
2.0,0.0,24.4,1.293,0.081,2.0,79656,2.69,2.0,5.0,3.09,2025-02-13,3.1120282297979407,1.5199506160901075,2,3.16,3.02
2.0,6.0,34.2,0.951,0.069,2.0,108612,3.68,1.0,12.0,2.99,2025-02-13,2.9999795939529976,0.9506838149987242,2,3.264285714285714,2.69
4.0,2.0,28.3,1.367,0.171,2.0,146451,3.82,3.0,11.0,2.3,2025-02-13,3.026463940914762,1.3444284895700938,2,3.2471428571428573,3.68
2.0,2.0,33.9,1.087,0.1,1.0,38341,3.62,3.0,11.0,3.76,2025-02-13,3.022545908717656,1.468046098880001,1,3.2342857142857144,3.82
3.0,0.0,27.0,1.214,0.19,1.0,94832,3.91,3.0,6.0,3.06,2025-02-14,3.1120282297979407,0.6880581132712494,2,3.367142857142857,3.62
0.0,0.0,36.1,1.666,0.069,0.0,45263,3.09,3.0,8.0,4.01,2025-02-14,2.937517715389649,1.588951990298817,1,3.4042857142857144,3.91
3.0,5.0,28.0,1.298,0.05,1.0,126755,4.01,0.0,8.0,2.42,2025-02-14,3.014675390930565,0.8079003260588882,2,3.545714285714286,3.09
0.0,2.0,38.2,1.672,0.115,2.0,98360,2.63,0.0,8.0,2.77,2025-02-14,3.10689643256313,1.637831782237582,3,3.5371428571428574,4.01
4.0,0.0,20.3,1.018,0.129,1.0,32328,3.08,2.0,7.22,4.2,2025-02-14,3.062259065444224,1.9379637596878716,2,3.4514285714285715,2.63
5.0,3.0,20.5,1.122,0.085,2.0,127268,3.15,3.0,8.0,2.44,2025-02-15,2.9604674090272924,1.8441390668463225,1,3.355714285714286,3.08
2.0,4.0,22.0,1.548,0.11,0.0,97941,3.49,3.0,3.0,3.18,2025-02-15,3.021062726997556,1.954761251918542,3,3.337142857142857,3.15
4.0,6.0,16.7,1.235,0.194,0.0,61018,3.52,3.0,6.0,3.52,2025-02-15,3.016381209738393,0.9627713721499198,3,3.281428571428571,3.49
0.0,0.0,26.5,1.022,0.066,2.0,122767,3.42,3.0,8.0,2.8,2025-02-15,3.062259065444224,1.6327558317546411,3,3.3285714285714287,3.52
4.0,4.0,36.8,1.372,0.085,2.0,83015,3.59,2.0,8.0,3.17,2025-02-15,3.023203278153176,0.921751660358936,1,3.268571428571428,3.42
5.0,2.0,34.1,1.175,0.099,0.0,51660,3.38,3.0,9.0,3.85,2025-02-16,2.971753113841859,1.8106059772525425,2,3.375714285714285,3.59
5.0,6.0,34.8,1.369,0.051,0.0,76547,2.77,1.0,2.0,3.54,2025-02-16,2.971753113841859,0.8685063321168454,3,3.3314285714285714,3.38
4.0,7.0,27.3,0.884,0.092,2.0,115294,2.99,2.0,10.0,2.49,2025-02-16,3.0820983132609805,1.4622216264081915,2,3.3085714285714287,2.77
1.0,1.0,31.8,0.932,0.06,0.0,117478,2.61,2.0,10.0,2.66,2025-02-16,3.0115077099347927,1.3552943378086595,2,3.182857142857143,2.99
0.0,5.0,30.8,1.104,0.087,1.0,101768,3.32,1.0,4.0,3.14,2025-02-16,2.9550344537328104,1.8900608572658797,2,3.1542857142857144,2.61
4.0,6.0,28.2,1.676,0.164,0.0,108061,3.07,0.0,4.0,2.54,2025-02-17,2.9604674090272924,0.7304546242141179,2,3.1042857142857136,3.32
3.0,3.0,17.9,1.421,0.196,0.0,83660,3.72,0.0,6.0,3.3,2025-02-17,3.043530945336403,1.9493805855223028,1,3.1228571428571428,3.07
3.0,7.0,35.2,0.87,0.124,1.0,53604,2.59,2.0,7.0,3.84,2025-02-17,3.1120282297979407,1.8798142789388397,1,3.01,3.72
4.0,7.0,36.0,1.197,0.142,1.0,86959,2.69,1.0,7.0,3.43,2025-02-18,3.046009221581059,1.8306053132605533,1,2.9985714285714287,2.59
5.0,1.0,37.9,1.666,0.056,2.0,82939,3.9,1.0,11.0,3.02,2025-02-18,2.9604674090272924,0.8697871732801453,2,3.128571428571429,2.69
3.0,2.0,30.0,0.942,0.134,1.0,134139,3.0,2.0,9.0,2.03,2025-02-19,3.1466564880282992,1.0769112433995707,1,3.184285714285714,3.9
2.0,7.0,33.1,0.957,0.173,1.0,136126,2.72,0.0,11.0,2.46,2025-02-19,3.0820983132609805,1.8243519448086447,1,3.0985714285714283,3.0
0.0,6.0,34.9,1.251,0.116,0.0,155172,3.1,0.0,4.0,1.89,2025-02-19,3.016381209738393,0.9935261311440862,1,3.1028571428571428,2.72
1.0,5.0,27.2,1.083,0.104,1.0,108300,3.69,0.0,6.0,2.77,2025-02-20,3.013513887499976,1.2927234926378581,3,3.0985714285714283,3.1
3.0,3.0,17.9,1.093,0.199,1.0,113410,3.74,1.0,8.0,2.6,2025-02-20,3.043530945336403,1.1021844706594939,2,3.262857142857143,3.69
4.0,4.0,25.0,1.717,0.18,2.0,53601,3.74,0.0,8.0,3.53,2025-02-21,3.013513887499976,1.3524138374363581,3,3.412857142857143,3.74
4.0,2.0,37.3,1.47,0.123,1.0,107703,2.85,1.0,8.67,2.71,2025-02-21,3.022295187311776,1.8260655322683574,2,3.262857142857143,3.74
1.0,5.0,38.7,1.165,0.095,2.0,160655,3.64,3.0,2.0,1.92,2025-02-21,2.9999795939529976,1.8889630146761396,3,3.3542857142857145,2.85
4.0,6.0,34.6,1.062,0.173,2.0,61845,3.42,0.0,7.0,3.44,2025-02-21,3.012852579287133,0.8339765462841447,3,3.454285714285714,3.64
5.0,0.0,23.9,1.126,0.142,2.0,34149,4.14,2.0,6.0,4.48,2025-02-22,3.0025806634131804,1.5282835232804877,1,3.6028571428571428,3.42
2.0,4.0,30.4,1.087,0.181,0.0,41793,3.47,3.0,8.0,4.11,2025-02-22,3.2014768663798443,1.5599065868438746,2,3.571428571428572,4.14
1.0,5.0,23.0,0.983,0.099,0.0,91165,2.85,3.0,9.0,3.04,2025-02-22,3.1074473460558387,1.904991674136103,1,3.4442857142857144,3.47
3.0,4.0,37.3,1.114,0.148,1.0,88011,2.68,2.0,4.0,3.34,2025-02-23,2.937517715389649,0.6573547395813693,3,3.2928571428571423,2.85
3.0,6.0,24.8,1.222,0.063,1.0,44704,3.5,3.0,5.0,3.71,2025-02-23,3.0115077099347927,1.0001385484364191,3,3.3857142857142857,2.68
2.0,2.0,17.1,1.079,0.172,2.0,37844,3.5,2.0,8.0,4.26,2025-02-23,3.012852579287133,1.6698575236200814,1,3.3657142857142857,3.5
3.0,2.0,22.0,1.542,0.107,2.0,69001,2.85,3.0,11.0,3.74,2025-02-23,2.9637103005195686,0.8550908474682454,2,3.2842857142857147,3.5
3.0,7.0,25.4,0.889,0.137,1.0,91073,3.05,1.0,6.0,3.03,2025-02-23,3.062259065444224,1.0640088693561083,1,3.128571428571429,2.85
5.0,3.0,24.4,1.022,0.098,2.0,128561,3.22,2.0,6.0,2.65,2025-02-24,2.9550344537328104,1.5113946136662557,2,3.0928571428571425,3.05
3.0,0.0,23.8,1.312,0.199,0.0,148341,3.7,2.0,10.0,2.22,2025-02-24,2.941214429166024,1.5174119307854042,1,3.2142857142857144,3.22
5.0,5.0,18.7,1.184,0.098,1.0,86662,3.01,0.0,4.0,3.3,2025-02-25,3.087997768086914,1.6927164888789432,2,3.261428571428572,3.7
3.0,6.0,38.5,1.505,0.116,2.0,69139,3.99,0.0,6.0,3.81,2025-02-25,3.021062726997556,1.0907935218812566,1,3.3314285714285714,3.01
5.0,3.0,17.4,1.4169999999999998,0.072,1.0,155493,2.75,0.0,11.0,1.96,2025-02-25,2.971753113841859,1.723076714976493,3,3.224285714285714,3.99
