Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Steel,Powder coated,28.5,1.208,Fönsterbleck,0.15535327794442885,high,107535,3.41,large,9.0,2.83,2025-02-14
Nickel,Brushed,16.7,1.208,Mittpost,0.16093137519413578,medium,143341,3.55,medium,10.0,2.2,2025-10-28
Lead,Chrome plated,30.4,0.897,H-profil,0.18168117554670263,medium,108598,2.96,medium,12.0,2.81,2025-09-08
Copper,Electroplated,37.7,1.155,Fönsterbleck,0.09689789311216344,high,91538,3.82,micro,12.0,3.12,2025-11-27
Titanium,Plasma sprayed,29.6,0.938,Vinkellist,0.12950974654522246,low,160653,3.56,small,8.0,1.89,2025-06-14
Copper,Polished,34.7,1.573,T-profil,0.16402228592118423,low,137733,3.35,micro,11.0,2.3,2025-07-12
Steel,Phosphated,36.2,1.7,Karmprofil,0.09079208131808086,low,149693,2.65,medium,11.0,2.09,2025-01-09
Titanium,Polished,21.0,0.903,Kantprofil,0.08979370937539993,low,139392,4.01,large,9.0,2.27,2025-03-06
Lead,Phosphated,20.6,1.707,J-profil,0.12607080658688066,high,34447,3.53,large,10.0,4.13,2025-10-09
Steel,Hot-dip galvanized,29.9,1.313,Avvattningsprofil,0.11969231282475554,medium,131219,2.86,large,7.0,2.41,2025-06-30
Aluminium,Anodized,25.2,1.11,Korsprofil,0.09059777029879165,high,131551,3.51,micro,11.0,2.41,2025-10-09
Nickel,Phosphated,35.2,0.907,Skarvprofil,0.09250500828418447,low,70745,3.63,small,3.0,3.48,2025-10-06
Lead,Polished,36.6,1.293,Ventilationslister,0.08656267308948434,high,86103,3.39,micro,3.0,3.21,2025-01-30
Aluminium,Hot-dip galvanized,23.9,5.173416,Karmprofil,0.18030069038160446,medium,159553,3.69,large,5.0,1.91,2025-09-23
Tin,Phosphated,21.2,1.481,Bottenlist,0.15993815912121698,high,93408,3.47,medium,10.0,3.08,2025-11-24
Lead,Electroplated,33.8,0.883,J-profil,0.16950468725589016,low,138470,4.06,small,8.0,2.29,2025-08-05
Tin,Anodized,22.1,0.904,Tätningslist,0.19645535683858645,low,34313,2.64,micro,3.0,4.13,2025-11-16
Titanium,Phosphated,34.8,1.204,Z-profil,0.11518878582489409,high,117917,2.72,micro,9.0,2.65,2025-04-15
Aluminium,Hot-dip galvanized,25.5,1.106,Foglist,0.06855804378951627,medium,114710,2.83,small,12.0,2.71,2025-07-03
Nickel,Blackening,31.2,1.049,H-profil,0.05374678407796949,high,85802,3.65,small,8.0,3.22,2025-11-26
Steel,Brushed,17.9,1.093,Fönsterbåge,0.09525441189243067,medium,149416,3.58,medium,,2.09,2025-05-28
Brass,Wet painted,30.2,1.569,Korsprofil,0.19362199969540392,medium,70055,3.97,small,9.0,3.5,2025-04-15
Copper,Chrome plated,26.2,1.684,Skenprofil,0.1145063480234777,high,41033,3.72,medium,4.0,4.01,2025-02-16
Iron,Wet painted,29.3,1.206,Glasningslist,0.09379754406624694,medium,41779,3.36,large,2.0,4.0,2025-03-28
Nickel,Blackening,19.6,1.662,Foglist,0.11521490218563557,low,107661,4.13,large,3.0,2.83,2025-11-05
Aluminium,Wet painted,32.8,1.13,Ändprofil,0.13260846967834114,high,53604,2.97,micro,3.0,3.79,2025-05-09
Brass,Blackening,35.7,1.271,Doldbeslag,0.14480256012710474,medium,67994,3.87,large,5.0,3.53,2025-09-15
Nickel,Powder coated,20.7,1.043,Skruvkanal,0.06270555644595519,low,156532,3.23,large,7.0,1.97,2025-11-10
Aluminium,Blackening,17.9,1.421,Innerbåge,0.19776986106766106,high,137886,3.58,medium,5.0,2.3,2025-05-27
Zinc,Blackening,16.3,1.729,Isolerprofil,0.13638783366250018,low,113471,3.71,micro,10.0,2.73,2025-03-13
Zinc,Blackening,30.6,1.387,Glashållare,0.07450421854120891,low,146451,3.56,small,5.0,2.14,2025-05-20
Tin,Electroplated,29.8,1.163,Karmlist,0.18357086950823248,low,118596,2.77,micro,7.0,2.64,2025-01-27
Nickel,Brushed,28.4,1.427,J-profil,0.061172168442884284,medium,41790,3.25,large,7.0,4.0,2025-01-29
Zinc,Plasma sprayed,21.1,0.949,J-profil,0.1826503937483238,high,53552,3.44,small,11.0,3.79,2025-09-28
Aluminium,Phosphated,24.8,1.647,Kantskydd,0.2,high,137590,3.9,micro,12.0,2.3,2025-06-23
Tin,Chrome plated,29.5,1.295,Kantskydd,0.15732870056591763,high,39162,3.26,micro,11.0,4.04,2025-09-10
Aluminium,Anodized,27.2,1.246,Rörprofil,0.1658742639450907,high,142763,4.01,micro,2.0,2.21,2025-03-01
Tin,Brushed,38.6,1.371,Ventilationslister,0.09450414988806873,low,102259,3.25,micro,9.0,2.93,2025-04-17
Nickel,Polished,18.9,1.406,Karmprofil,0.1853977119444695,high,42750,3.42,medium,,3.98,2025-08-08
Brass,Plasma sprayed,31.8,0.903,Mittpost,0.13935374882320703,medium,88322,3.82,micro,7.0,3.17,2025-09-16
Steel,Powder coated,25.1,1.459,Kopplingsprofil,0.17537729472281907,low,160198,3.48,large,4.0,1.9,2025-05-26
Lead,Powder coated,25.6,1.058,Innerbåge,0.17320054235998278,medium,94291,4.08,large,12.0,3.07,2025-02-21
Brass,Blackening,32.3,1.487,Baslister,0.18351327309996562,low,73227,3.6,medium,3.0,3.44,2025-03-01
Titanium,Brushed,31.8,1.586,Anslagslist,0.18431033539603503,low,132677,3.38,small,6.0,2.39,2025-02-03
Aluminium,Hot-dip galvanized,38.7,1.569,Glasningslist,0.08810882543875469,high,120390,2.59,small,2.0,2.61,2025-04-06
Titanium,Wet painted,18.7,1.34,Glashållare,0.19448207024776468,low,82153,3.21,large,10.0,3.28,2025-03-30
Brass,Polished,18.1,5.173416,Ramlist,0.13925636937453958,medium,64126,3.03,large,12.0,3.6,2025-11-12
Tin,Powder coated,32.5,0.967,Kantskydd,0.19424479951288548,low,75179,3.74,medium,8.0,3.4,2025-08-19
Lead,Chrome plated,29.1,1.543,Ramlist,0.15788278823349225,medium,89565,2.88,small,4.0,3.15,2025-10-02
Lead,Powder coated,22.1,1.084,Ramlist,0.09719454770437361,medium,104661,2.88,small,5.0,2.88,2025-09-03
Iron,Anodized,17.6,1.29,Skenprofil,0.09935109173598866,medium,141256,2.85,micro,7.0,2.24,2025-04-21
Lead,Phosphated,17.7,1.096,Mittpost,0.1351086172188791,medium,110290,2.75,micro,4.0,2.78,2025-08-22
Steel,Powder coated,36.4,0.959,Glashållare,0.1730348209159468,low,122087,3.04,micro,8.0,2.58,2025-10-05
Lead,Anodized,20.2,1.411,H-profil,0.09481340942162174,high,118484,3.96,medium,7.0,2.64,2025-06-15
Brass,Brushed,23.2,0.887,Ventilationslister,0.1386927493843706,medium,73036,3.78,large,10.0,3.44,2025-05-08
Iron,Brushed,21.0,1.519,Glasningslist,0.0968675969093476,low,56830,3.72,medium,,3.73,2025-08-25
Brass,Plasma sprayed,23.9,1.126,H-profil,0.167794190944391,high,110352,3.82,small,5.0,2.78,2025-10-18
Brass,Powder coated,17.3,0.837,T-profil,0.11695303742539459,high,79358,2.98,large,4.0,3.33,2025-04-17
Copper,Chrome plated,27.7,1.303,U-profil,0.06643858845224992,high,138380,3.96,micro,11.0,2.29,2025-05-08
Iron,Powder coated,17.3,0.88,Droppnäsa,0.07486791704139788,medium,106394,2.77,medium,2.0,2.85,2025-07-14
Brass,Chrome plated,34.2,1.089,Avvattningsprofil,0.06432067246659699,medium,106555,3.08,medium,4.0,2.85,2025-12-05
Copper,Electroplated,21.1,1.481,Mittpost,0.119906824080354,low,37186,3.48,micro,,4.08,2025-05-23
Copper,Blackening,28.2,0.894,Kilspår,0.06132585848398893,high,158898,2.71,medium,8.0,1.92,2025-04-21
Iron,Plasma sprayed,36.1,1.602,Ventilationslister,0.06454062411615105,medium,126021,3.71,micro,8.0,2.51,2025-03-31
Titanium,Electroplated,30.8,0.841,Innerbåge,0.17888211775009913,low,150923,3.17,small,2.0,2.07,2025-09-08
Tin,Powder coated,28.1,1.062,Clipsprofil,0.18185305435280733,medium,69687,3.8,large,4.0,3.5,2025-10-07
Steel,Plasma sprayed,23.2,1.512,Korsprofil,0.11179841510035114,medium,53875,3.33,small,9.0,3.78,2025-11-29
Tin,Electroplated,23.4,1.125,Droppnäsa,0.19462996091080534,high,144560,2.84,small,10.0,2.18,2025-08-12
Lead,Wet painted,31.2,0.93,Stödprofil,0.06370809094504258,medium,140949,3.72,micro,8.0,2.24,2025-04-11
Steel,Powder coated,38.7,1.165,Distansprofil,0.1269652112562053,low,71943,2.95,medium,8.0,3.46,2025-05-12
Lead,Electroplated,31.0,1.084,Innerbåge,0.15589943309903004,high,42400,3.33,small,12.0,3.98,2025-01-13
Brass,Wet painted,28.6,1.605,Avvattningsprofil,0.12478686712530845,low,92656,2.67,small,9.0,3.1,2025-04-08
Aluminium,Wet painted,32.6,1.123,Kilspår,0.12006901452597299,high,40156,3.53,small,7.0,4.02,2025-04-30
Iron,Brushed,26.5,1.556,Skenprofil,0.11056872223540636,high,70469,3.61,medium,12.0,3.49,2025-10-20
Steel,Powder coated,17.1,1.65,Mittpost,0.10668262098278924,medium,61104,3.15,medium,4.0,3.65,2025-10-31
Steel,Wet painted,28.7,1.232,Kopplingsprofil,0.17345079297680052,low,68090,4.07,micro,2.0,3.53,2025-07-18
Brass,Brushed,37.9,1.666,H-profil,0.07331023319553583,high,63288,3.94,small,8.0,3.61,2025-01-01
Titanium,Electroplated,19.8,1.181,Glasningslist,0.08579075144461014,medium,142279,3.68,large,2.0,2.22,2025-03-01
Copper,Anodized,31.7,1.715,Mittpost,0.07990452000527336,high,108748,3.68,medium,2.0,2.81,2025-09-07
Brass,Powder coated,20.4,0.919,Doldbeslag,0.09352447729088478,high,70806,2.95,micro,10.0,3.48,2025-05-20
Zinc,Plasma sprayed,28.1,1.463,Glashållare,0.13226234816333216,high,145730,3.59,small,11.0,2.16,2025-05-29
Copper,Chrome plated,18.0,1.287,Glaskil,0.07291162057691347,high,120204,2.87,large,8.0,2.61,2025-02-13
Iron,Chrome plated,26.1,1.19,Vinkellist,0.16406921451233591,high,99606,2.78,medium,12.0,2.97,2025-07-05
Copper,Electroplated,33.2,1.413,Baslister,0.08450913321931322,high,44605,4.14,large,5.0,3.95,2025-04-18
Titanium,Hot-dip galvanized,23.8,1.478,Hakprofil,0.0670959744739053,medium,42269,3.54,medium,7.0,3.99,2025-02-13
Copper,Hot-dip galvanized,31.1,0.841,Mittpost,0.1385556686035534,high,44704,3.24,micro,2.0,3.94,2025-03-19
Iron,Electroplated,34.1,0.989,T-profil,0.062462987327814225,low,41289,3.01,large,8.0,4.0,2025-08-14
Titanium,Wet painted,37.2,1.487,Skarvprofil,0.14623734903715915,high,97605,3.51,small,7.0,3.01,2025-06-11
Tin,Powder coated,21.2,1.444,J-profil,0.14606965910139963,low,68283,2.63,small,5.0,3.53,2025-10-08
Steel,Chrome plated,25.0,1.717,Kantprofil,0.08787134444536743,high,142584,2.7,medium,8.0,2.21,2025-09-10
Steel,Chrome plated,19.3,1.53,Skenprofil,0.052685016571973345,low,71762,2.6,small,4.0,3.47,2025-05-12
Lead,Wet painted,38.7,1.703,Sidoprofil,0.11172062008761512,high,51660,3.34,large,2.0,3.82,2025-05-24
Tin,Chrome plated,37.2,1.477,Kopplingsprofil,0.07490497343452637,high,117957,3.5,micro,5.0,2.65,2025-09-23
Tin,Plasma sprayed,28.2,1.109,Mittpost,0.0725561379260755,medium,58587,2.65,medium,4.0,3.7,2025-04-19
Copper,Powder coated,35.2,0.933,H-profil,0.09400605162075343,medium,97772,3.7,large,2.0,3.01,2025-07-13
Steel,Phosphated,27.8,1.549,Korsprofil,0.09913608541221797,high,147740,2.92,medium,3.0,2.12,2025-02-04
Iron,Chrome plated,30.2,1.424,Korsprofil,0.12293225333637514,medium,141265,3.64,micro,12.0,2.24,2025-10-02
Nickel,Electroplated,17.8,0.881,Z-profil,0.15677941263974068,high,93613,4.11,medium,6.0,3.08,2025-07-06
Nickel,Plasma sprayed,33.2,1.165,L-profil,0.12532443271106222,medium,66460,3.65,small,9.0,3.56,2025-08-31
Titanium,Chrome plated,18.7,1.709,Täckprofil,0.07486256375720703,medium,39089,3.95,small,2.0,4.04,2025-09-21
Steel,Blackening,34.8,1.293,Z-profil,0.08499421744828645,low,59481,4.06,medium,5.0,3.68,2025-01-10
Steel,Plasma sprayed,33.8,1.231,Täckprofil,0.1823853273083813,medium,46685,3.32,micro,5.0,3.91,2025-06-15
Nickel,Brushed,32.1,1.254,T-profil,0.1421210378477131,high,114897,3.67,micro,6.0,2.7,2025-01-29
Steel,Phosphated,16.6,1.027,Rörprofil,0.18858537543251064,low,97941,3.9,small,8.0,3.0,2025-09-28
Copper,Polished,22.7,1.173,Droppnäsa,0.10798715144234554,high,76547,3.12,micro,9.0,3.38,2025-03-28
Zinc,Electroplated,21.8,1.174,Karmprofil,0.13337537967081695,medium,118973,2.97,medium,7.0,2.63,2025-01-23
Aluminium,Electroplated,24.1,0.885,H-profil,0.13568890959500443,high,132550,4.06,large,2.0,2.39,2025-07-29
Tin,Powder coated,17.8,1.536,Korsprofil,0.09890246496080551,high,37844,3.7,medium,8.0,4.06,2025-02-15
Lead,Plasma sprayed,37.4,1.217,Sidoprofil,0.11792889724882473,medium,148083,2.9,small,4.0,2.12,2025-01-28
Titanium,Wet painted,28.5,1.586,Sidoprofil,0.11633402535015198,high,45575,3.26,small,7.0,3.93,2025-01-26
Zinc,Electroplated,22.8,1.612,Baslister,0.07032337773916299,medium,137589,3.82,small,9.0,2.3,2025-09-23
Nickel,Plasma sprayed,24.9,1.03,Skarvprofil,0.09972890911180067,low,95548,3.42,micro,8.0,3.04,2025-06-24
Tin,Plasma sprayed,26.1,5.173416,H-profil,0.17605427060944884,high,66850,3.58,medium,11.0,3.55,2025-01-04
Steel,Blackening,29.6,1.267,Distansprofil,0.19044344463414303,high,85993,3.75,large,7.0,3.21,2025-11-07
Lead,Anodized,27.7,1.639,Spröjsprofil,0.1021113838699048,low,51941,3.54,medium,10.0,3.82,2025-11-18
Steel,Anodized,37.0,1.034,Täckprofil,0.10519881443720352,low,104049,3.41,large,10.0,2.89,2025-03-08
Iron,Polished,27.2,1.455,Anslagslist,0.08644117004467763,high,157177,3.74,medium,2.0,1.95,2025-05-15
Iron,Brushed,38.7,1.391,Glaskil,0.15115497056822289,high,112321,3.71,small,2.0,2.75,2025-02-24
Lead,Polished,35.4,1.106,J-profil,0.09535293916453379,medium,47905,3.55,large,2.0,3.89,2025-01-31
Lead,Chrome plated,20.6,0.962,Hakprofilslist,0.19684990142731276,low,135473,3.12,medium,9.0,2.34,2025-03-15
Nickel,Wet painted,37.3,1.431,Fönsterbåge,0.09729408769943942,low,83013,3.2,micro,11.0,3.27,2025-01-19
Lead,Chrome plated,18.4,1.51,Kopplingsprofil,0.11649450232515096,high,52690,4.09,micro,,3.8,2025-06-05
Copper,Hot-dip galvanized,34.6,1.125,Dekorlist,0.13228301326549796,medium,107703,2.73,medium,4.0,2.83,2025-12-03
Steel,Chrome plated,24.5,1.425,J-profil,0.17302755343750575,low,90766,2.98,small,3.0,3.13,2025-06-05
Zinc,Powder coated,36.0,1.197,Droppnäsa,0.1289164452618189,medium,36281,3.33,large,5.0,4.09,2025-05-27
Brass,Chrome plated,35.8,1.487,Pärlspont,0.09659035863881214,medium,41793,3.88,medium,4.0,4.0,2025-03-28
Lead,Polished,34.4,1.019,Skenprofil,0.19702183839028173,medium,103518,2.81,micro,8.0,2.9,2025-01-20
Titanium,Electroplated,34.0,1.648,Karmprofil,0.05204358236847617,high,103618,2.99,large,11.0,2.9,2025-09-26
Iron,Electroplated,22.8,1.099,Glashållare,0.1790467714078055,low,147931,2.65,micro,9.0,2.12,2025-11-29
Copper,Anodized,17.6,1.172,Mittpost,0.08121450766039572,high,151538,3.67,micro,7.0,2.05,2025-02-12
Tin,Wet painted,25.1,0.89,Doldbeslag,0.16250159592982252,low,127635,2.93,medium,4.0,2.48,2025-11-02
Brass,Wet painted,19.7,0.939,Kantskydd,0.14955382671250889,high,139741,3.17,micro,7.0,2.26,2025-01-28
Zinc,Powder coated,31.8,1.307,Hörnvinkel,0.08530316317436981,high,49284,3.26,large,3.0,3.86,2025-09-17
Brass,Polished,23.7,1.081,L-profil,0.18487845620024748,medium,157880,3.97,small,8.0,1.94,2025-01-22
Lead,Anodized,38.3,1.598,Pärlspont,0.059618069932211505,medium,143616,3.2,medium,12.0,2.19,2025-04-11
Nickel,Blackening,30.6,0.851,Mittpost,0.08194778642269693,high,55060,2.78,large,11.0,3.76,2025-02-08
Iron,Hot-dip galvanized,34.8,1.183,Glashållare,0.1359266317320853,high,123829,3.38,medium,,2.54,2025-10-17
Iron,Wet painted,18.8,1.144,Fönsterbleck,0.08918320462113748,medium,33824,4.08,micro,5.0,4.14,2025-12-19
Tin,Electroplated,35.7,0.855,F-profil,0.14281949648859762,medium,150754,3.52,micro,9.0,2.07,2025-10-27
Nickel,Chrome plated,37.1,0.951,Karmlist,0.05,low,81702,4.11,large,5.0,3.29,2025-06-19
Steel,Chrome plated,27.0,1.214,Ramlist,0.05796942596086688,low,123956,3.89,large,,2.54,2025-10-23
Aluminium,Anodized,29.8,1.286,Mittpost,0.07256879144274615,high,97914,2.61,small,5.0,3.0,2025-12-19
Copper,Polished,33.4,1.205,Glashållare,0.07667943989146768,low,68191,3.6,large,6.0,3.53,2025-05-10
Iron,Polished,19.8,1.321,Ändprofil,0.1303916557287314,medium,123309,3.01,large,8.0,2.55,2025-06-05
Titanium,Brushed,27.4,1.379,Sidoprofil,0.16527360451877357,medium,72132,3.44,medium,11.0,3.46,2025-03-15
Iron,Phosphated,25.0,0.846,Hörnvinkel,0.18099268727853376,medium,78136,2.99,micro,4.0,3.35,2025-12-08
Brass,Wet painted,19.1,1.26,Täckprofil,0.173967442176648,medium,106253,3.1,large,11.0,2.86,2025-03-31
Iron,Polished,24.2,1.715,Doldbeslag,0.06786676108583353,high,45662,4.02,small,6.0,3.93,2025-03-08
Iron,Electroplated,17.3,1.31,Isolerprofil,0.11096412542577407,high,99045,2.88,large,12.0,2.98,2025-08-24
Aluminium,Anodized,16.3,1.454,Foglist,0.07163233322433242,low,70221,3.94,micro,4.0,3.49,2025-07-19
Aluminium,Hot-dip galvanized,18.9,1.121,Sidoprofil,0.09018684906453364,high,102734,2.6,large,,2.92,2025-11-28
Zinc,Brushed,38.0,1.542,Sidoprofil,0.13173291417915714,low,160017,2.69,medium,4.0,1.9,2025-08-15
Steel,Plasma sprayed,28.4,1.541,T-profil,0.06518278104281916,high,50862,3.91,micro,12.0,3.83,2025-12-14
Titanium,Powder coated,38.1,1.312,Ytterram,0.08200244066584161,medium,96810,3.55,large,11.0,3.02,2025-08-21
Iron,Hot-dip galvanized,25.7,1.726,Mittpost,0.18310152955960612,low,108707,3.74,medium,12.0,2.81,2025-09-23
Iron,Plasma sprayed,22.9,0.952,Skenprofil,0.12125852937143464,medium,39910,2.88,micro,8.0,4.03,2025-03-27
Copper,Blackening,27.4,0.853,Vinkellist,0.10054122596735954,low,141681,3.4,large,2.0,2.23,2025-04-12
Aluminium,Chrome plated,25.9,1.539,Glaskil,0.052823865844826734,low,125218,3.72,medium,10.0,2.52,2025-08-02
Titanium,Powder coated,18.2,1.572,Z-profil,0.08574316079530578,low,48091,3.55,small,10.0,3.88,2025-04-18
Tin,Wet painted,30.6,0.947,Kopplingsprofil,0.1866047615623879,low,90347,3.3,medium,,3.14,2025-06-14
Zinc,Electroplated,20.7,1.079,Kilspår,0.058160203862679664,low,133148,4.08,small,10.0,2.38,2025-04-01
Steel,Powder coated,30.1,0.853,Bottenlist,0.11786202686085581,medium,136126,3.63,large,11.0,2.33,2025-07-11
Nickel,Phosphated,30.8,1.104,Ändprofil,0.05,low,100206,3.99,medium,7.0,2.96,2025-12-01
Steel,Plasma sprayed,19.2,1.541,Glashållare,0.12402590031531611,medium,51965,3.71,small,6.0,3.82,2025-03-27
Brass,Wet painted,17.1,1.309,L-profil,0.05219329495911062,high,102546,3.72,micro,4.0,2.92,2025-08-10
Iron,Phosphated,33.8,1.154,Skenprofil,0.1717276489925483,low,98164,2.68,medium,12.0,3.0,2025-12-29
Zinc,Chrome plated,26.4,1.176,Mittpost,0.1819000845230477,medium,78751,3.12,large,12.0,3.34,2025-04-11
Brass,Phosphated,17.1,0.838,H-profil,0.17169180370512988,high,136183,3.91,micro,9.0,2.33,2025-08-14
Titanium,Brushed,38.8,1.11,Hörnvinkel,0.09498971254320425,high,118448,2.92,small,5.0,2.64,2025-12-30
Nickel,Brushed,17.1,1.426,Hakprofilslist,0.16736618493176664,high,78190,2.73,medium,11.0,3.35,2025-03-01
Aluminium,Blackening,31.8,1.724,Foglist,0.13031027488055216,medium,39094,3.07,medium,4.0,4.04,2025-09-07
Zinc,Anodized,38.5,1.609,L-profil,0.12044799979882133,low,65188,2.9,large,7.0,3.58,2025-02-17
Zinc,Hot-dip galvanized,21.3,0.859,Avvattningsprofil,0.14368201502491415,low,39049,4.02,micro,9.0,4.04,2025-04-27
Iron,Hot-dip galvanized,19.0,1.656,Mittpost,0.052817817603076245,medium,78831,3.93,medium,10.0,3.34,2025-08-15
Lead,Wet painted,18.5,1.551,Skruvkanal,0.07497494733404567,low,147952,3.34,medium,7.0,2.12,2025-12-28
Zinc,Chrome plated,22.7,1.548,Droppnäsa,0.17215176362690235,medium,52908,2.65,micro,6.0,3.8,2025-02-02
Copper,Polished,18.1,1.254,L-profil,0.08796893288747358,low,113286,3.69,medium,12.0,2.73,2025-02-13
Nickel,Blackening,31.7,1.2,Droppnäsa,0.1447252807821488,high,101511,3.54,micro,3.0,2.94,2025-06-14
Nickel,Brushed,17.2,1.113,Innerbåge,0.11584796190705801,low,152682,4.09,micro,3.0,2.03,2025-12-11
Copper,Wet painted,27.5,0.897,Glashållare,0.16700466846707826,medium,116296,3.44,micro,10.0,2.68,2025-10-19
Tin,Polished,38.8,1.045,Glasningslist,0.197077836031149,medium,88317,3.08,large,3.0,3.17,2025-12-03
Copper,Hot-dip galvanized,34.6,1.062,Hakprofil,0.18717220440983975,high,136247,3.38,micro,3.0,2.32,2025-12-10
Copper,Anodized,30.0,1.278,Ramlist,0.08787163472979669,low,89976,4.11,micro,4.0,3.14,2025-10-14
Nickel,Phosphated,22.8,1.518,Ventilationslister,0.07731150166946703,low,43860,3.66,small,4.0,3.96,2025-12-30
Steel,Brushed,30.2,1.269,Spröjsprofil,0.12498211575719662,low,86701,3.62,small,5.0,3.2,2025-08-13
Nickel,Wet painted,27.9,0.89,Clipsprofil,0.055590798157135225,high,82768,2.93,large,8.0,3.27,2025-10-13
Lead,Powder coated,25.6,1.71,J-profil,0.05,medium,148184,3.73,micro,10.0,2.11,2025-07-23
Iron,Polished,18.8,5.173416,Isolerprofil,0.13196590640863953,high,64763,3.74,small,3.0,3.59,2025-06-21
Brass,Phosphated,36.2,5.173416,L-profil,0.11849783500120036,low,63963,3.05,small,5.0,3.6,2025-01-12
Steel,Brushed,26.1,1.74,F-profil,0.1943877238701001,high,145987,3.32,medium,10.0,2.15,2025-11-03
Aluminium,Hot-dip galvanized,20.2,1.333,Ventilationslister,0.08689767660963633,medium,101006,3.02,micro,3.0,2.95,2025-05-01
Brass,Chrome plated,24.2,1.714,Ytterram,0.08307464380558255,high,91073,2.96,small,11.0,3.12,2025-09-01
Iron,Polished,25.3,0.906,Karmlist,0.06268412851193945,medium,65423,2.59,large,12.0,3.58,2025-06-01
Lead,Hot-dip galvanized,34.9,1.17,Clipsprofil,0.19945083924289703,medium,126646,3.0,medium,2.0,2.49,2025-06-01
Lead,Brushed,32.7,1.043,Distansprofil,0.17095549615508263,low,42018,3.43,medium,11.0,3.99,2025-07-07
Aluminium,Polished,33.5,1.016,Tätningslist,0.17541850771003037,low,159077,2.55,micro,9.0,1.92,2025-01-13
Steel,Blackening,16.0,0.965,Rörprofil,0.1843578283098238,low,94937,3.0,micro,10.0,3.06,2025-04-01
